passengerCount,tripTimeHr,distanceDriven,Fare,Tolls,TotalFare,Trips,dropoff
27809,8810.290312,250600.280036569,726006.380001068,16281.7299077604,800894.323503971,15654,BK19
14059,4312.302696,122581.570081526,355904.989999771,7721.58995037153,395318.261546135,8108,BK26
47280,12484.400894,318260.729993938,955746.150001068,37406.6897612102,1113126.57499411,27666,BK30
74111,17423.237584,391571.100051329,1230578.54999924,22922.2498733923,1403593.15283537,42710,BK34
36893,10549.930205,239365.740007527,739355.390003204,4145.72996578179,797316.170862198,21649,BK50
404490,82152.542702,1302803.93032186,4743286.76000223,4854.67995370738,5606827.35213357,235684,BK64
1052846,155993.244753,2643027.75049292,9729698.88999712,213109.338545637,11788827.6753582,623910,BK76
36151,11116.406406,200136.810025504,666574.899999619,3386.40997667611,726664.650513649,21413,BK91
20675,5504.528724,161614.429976232,467372.5,17161.2198729608,535599.183623791,11918,BX10
19046,4851.110667,113148.570039647,350375.340000153,10548.6299262047,386728.282427311,11103,BX17
13593,3866.782223,110212.819981495,320066.5,12553.3599125072,362041.152860641,7823,BX31
19515,4106.258054,89185.6900188439,286554,7023.95995426178,316828.670969009,11266,BX33
32074,8626.467245,236774.189917367,695855.830001831,26110.2498373985,797725.385192394,18544,BX49
62547,10335.825556,186563.610049896,657432.539999614,149298.328265131,912837.406767249,33217,MN98
35970,8689.128309,232859.810019618,691025.5,25344.0898284912,792724.474430084,20757,QN06
37879,9684.461356,288905.590038722,834590.340001831,26077.9798320234,958101.134062061,21737,QN46
46477,11264.467852,251545.379980829,789482.110001909,24348.5598447416,890891.234396087,27014,QN53
52287,12191.125089,281535.300054595,892535.93000534,29589.619808076,1012171.11587099,30434,QN54
65598,15258.172012,349664.98004641,1105989.37999634,45908.4497078359,1295223.20729212,38421,QN60
6850,1520.080215,33392.8500060812,105505.5,3554.239985466,120707.950572491,3840,QN97
563,138.004858,3374.27000552416,10375,195.089998245239,11221.9900512695,337,QN99
12385,3897.144733,113462.809997002,327260.5,8536.43994760513,367952.391576767,7113,BK23
158477,35315.741722,763228.440230604,2433881.43999958,87466.5594656412,2922718.27780485,93040,BK40
55626,17016.883800,394216.699977417,1205753.83000183,34062.7798042074,1371532.73531008,32384,BK43
357359,70835.951167,1105154.19008231,4023693.24999905,17878.2198437471,4677835.673388,205594,BK77
7942,1568.621270,30232.4699913915,101395,2828.08997846581,120356.340318203,4563,BK97
35797,9548.091495,234666.360042186,714074.059999237,16256.029910326,783606.754054794,20459,BX05
40634,7902.071739,180194.309971584,572999.01,13238.3199126124,632865.132282982,23531,BX26
41540,8744.017085,213029.480053803,660131.199997425,14704.1399111748,724374.663644314,24048,BX36
25049,6690.625434,167351.569999224,507220.829999924,17182.2398820017,576811.233517885,14638,BX37
307,58.580186,1013.40999340266,3720,236.479998588562,4612.5600233078,236,BX98
3431,2061.888922,87731.4199772384,427441.210074425,9485.41995275952,487416.921528816,2659,CT
945099,144859.279572,2639223.51043498,9334843.33000208,138227.279020503,10806568.8471906,552611,MN03
48703410,5861303.636866,60801325.7166945,303639066.54017,5474786.75350274,361098714.090855,28225006,MN17
8028883,817958.788468,10175194.917372,46447963.6700092,278330.367943751,56665028.4403566,4632288,MN22
149622,27237.622541,468154.579901893,1643953.52999973,6875.1099415198,1904721.50221586,87985,MN30
367325,79650.632422,1766878.41069236,5624172.47000214,283564.048296299,6719930.06507597,215446,QN17
254242,48047.396331,878647.640189292,3028691.77000809,67872.5795505289,3398720.13642454,145281,QN29
12365,2690.951977,71464.1400294676,214946.830001831,3037.36997795105,234417.230638027,7084,QN33
22562,5660.843292,156553.459988043,460489.060000191,9129.00993728638,506893.731897125,13023,QN34
32359,7230.144020,200798.850038748,592735,18953.5798997879,675385.382904053,18411,QN49
153313,25817.429161,482787.940032721,1669023.63000202,30073.1098050158,1871311.95210004,86359,QN50
26360,6236.942950,151146.520018278,465544.130004883,15359.25990724,530455.222732306,14742,QN57
47810,15035.814327,433362.34005074,1248874.97000244,26285.3998279665,1396797.58503415,27520,BK17
1584594,272374.818362,4473259.31992522,16279511.2000111,17660.5698662084,19133613.7178415,917580,BK38
88101,20207.320634,474600.120078424,1473607.34999847,41078.3797486722,1715691.01448059,51610,BK41
237206,60109.957686,1246044.00045768,4001147.91000748,62531.4595681857,4593512.27757859,138082,BK42
213061,50581.733543,857985.520005474,2986234.79999466,5827.21995312534,3394746.50148483,123779,BK60
624148,114169.549350,1741060.07013269,6504720.72999454,16424.3498736918,7538820.14421106,360558,BK78
43877,10938.217593,184078.050002849,635121.449999809,1179.27999067307,697638.96030426,25517,BK79
508,134.700440,4088.97999173403,11653.5099999998,248.859999656677,12904.7600791547,297,BK99
10063,2991.775302,87232.4600351676,250975.5,10048.6999356747,278957.682498932,5694,BX03
105854,24730.747342,670939.950096291,2008820.70000267,119934.181472979,2400459.4596405,61117,BX29
