passengerCount,tripTimeHr,distanceDriven,Fare,Tolls,TotalFare,Trips,pickup,dropoff
257910,25385.551292,404394.759708084,1601388.60000134,118.80999994278,1899710.62100506,153229,MN14,MN09
10,1.364721,42.3000001907349,127.5,0,136.60000038147,6,QN25,QN76
8,2.040553,86.0700006484985,225,0,228.5,5,QN50,BK27
463,100.761015,1619.18999862671,5773.5,5.32999992370605,6684.32001018524,250,BK77,MN25
6,1.003332,18.3000001907349,64.5,0,67.5,4,BK17,BK41
87805,11525.705641,143128.209887136,612497.5,500.469995573163,745497.810619354,52262,MN24,BK09
102,25.975812,620.759999752045,1911.5,0,2100.42000198364,53,BK68,BK19
74,20.662483,325.530002593994,1131.5,0,1221.92999839783,44,BK68,QN19
1,0.585000,17.1000003814697,49.5,0,63.1300010681152,1,BX63,BK63
9,2.048887,75.1100006103516,208,0,232.020000457764,5,BK90,QN43
1,0.469444,15.8999996185303,44,0,45.5,1,QN46,BX22
1,0.200000,4.42000007629395,15,0,16,1,QN49,BK61
63,16.996095,393.369998931885,1183,10.6599998474121,1286.12000465393,38,MN34,BK72
19,3.643885,84.7299995422363,264.5,0,282.200000762939,10,QN20,QN22
2,0.711388,11.8999996185303,39.5,0,40,1,BX49,MN14
126,15.214693,243.720000386238,945,0,1071.82000350952,76,BK88,BK31
126,26.127488,352.87999817729,1288.5,0,1348.11999893188,32,QN35,BK37
9,3.236386,128.269998550415,334,31.4499998092651,401.350009918213,6,MN03,QN03
3234,845.941779,20577.3000325486,62698.5,7101.2999509275,78302.3712825775,1865,MN20,QN22
9,2.699998,85.7399997711182,240.5,0,256.5,6,QN29,BK46
1,0.466666,7.46000003814697,26,0,26.5,1,BK19,BK92
9,2.678887,84.1500005722046,240.5,5.32999992370605,266.330001831055,7,BK40,QN27
15,3.453332,106.540000915527,300,26.1199998855591,361.050006866455,6,MN35,QN53
60503,11917.204349,196963.830021031,692326.030000687,106.06999874115,796683.980388165,35047,MN23,MN33
7,1.821942,35.9899997711182,127,0,134,6,QN25,BK76
7,1.221387,21.2100005149841,90.5,11,107.5,3,EWR,BK38
1,0.381666,12.1999998092651,33.5,0,35,1,BK93,QN25
446750,21973.558293,240707.950241767,1471137.51000001,176.389999199659,1886057.34768869,261004,MN22,MN21
877,120.893147,2997.30000501871,9522.5,5.32999992370605,10771.1600170135,489,QN70,QN95
3,0.619166,15.1999998092651,50,0,50,1,QN45,QN68
9,0.730000,20.6899993419647,68,0,91.25,5,QN46,QN34
426,22.576291,285.949999935925,1567,0,1855.24999952316,254,BK34,BK32
90,20.586096,575.540001511574,3112.5,158.519999504089,3501.51002979279,51,SI00,NJ
38,3.277493,32.0200002416968,178.5,0,211.35000038147,22,BX17,BX75
1,0.276666,3.5,15,0,16.5,1,BK96,BK25
87954,10721.031810,146111.489982279,615741.699999809,148.089999198914,740199.000646591,49945,BK73,MN22
175,64.194960,1731.84999966621,7217.61000061035,965.319999694824,9285.07999420166,106,BK68,EWR
590138,27356.257806,271053.790522752,1848437.10000134,2451.71999387629,2365038.95886922,338174,MN22,MN22
437,58.399346,1167.58000051975,4044,0,4432.20000362396,261,QN29,BK90
1,0.683333,24.1700000762939,65.5,0,66.5,1,BK96,QN66
81,25.260817,611.029997825623,1870.5,21.3199996948242,2097.02000427246,45,BK68,BX14
20,8.670549,196.630000591278,633.5,0,697,13,BK68,QN05
12902,3666.662993,109123.810006477,311863,51.7200000379235,346391.779913664,7480,JFK,QN71
